ownershipEN,locationZH,relevantDistrictCouncilZH,nameZH,ownershipZH,locationEN,nameEN,relevantDistrictCouncilEN,items
Multiple Ownership,啓德沐寧街2號,九龍城,啓德1號(I),共有業權,2 Muk Ning Street,One Kai Tak (I),KOWLOON CITY,
Multiple Ownership,德輔道中19號,中西區,環球大廈,共有業權,19 Des Voeux Road Central,World Wide House,CENTRAL & WESTERN,
Multiple Ownership,紅鸞道18號,九龍城,One Harbour Gate,共有業權,18 Hung Luen Road,One Harbour Gate,KOWLOON CITY,
Multiple Ownership,第三街88號,中西區,星鑽,共有業權,88 Third Street,The Nova,CENTRAL & WESTERN,
Multiple Ownership,"馬頭圍道44, 46及48、 差館里8及12號、 佛光街1A, 3 ,5及7號",九龍城,家維邨,共有業權,"44, 46 & 48 Ma Tau Wai Road, 8 & 12 Station Lane and 1A, 3, 5 & 7 Fat Kwong Street",Ka Wai Chuen,KOWLOON CITY,
Multiple Ownership,九龍城道61號,九龍城,同興花園,共有業權,61 Kowloon City Road,Harmony Garden,KOWLOON CITY,
Multiple Ownership,九龍城道151號,九龍城,浩明雅苑,共有業權,151 Kowloon City Road,Homing Terrace,KOWLOON CITY,
Multiple Ownership,環海街11號,九龍城,海名軒,共有業權,11 Wan Hoi Street,Harbourfront Landmark,KOWLOON CITY,
Single Ownership,紅樂道12號,九龍城,海韻軒-海景酒店,單一業權,12 Hung Lok Road,"Harbourview Horizon,All-suite Hotel",KOWLOON CITY,
Single Ownership,雲咸街60號,中西區,中央廣場,單一業權,60 Wynham Street,The Centrium,CENTRAL & WESTERN,
Multiple Ownership,愛景街8號,九龍城,海濱南岸,共有業權,8 Oi King Street,Harbour Place,KOWLOON CITY,
Multiple Ownership,喇沙利道18A,九龍城,喇沙利道18A,共有業權,18A La Salle Road,18A La Salle Road,KOWLOON CITY,
Single Ownership,寶其利街123號,九龍城,盈采華庭,單一業權,123 Bulkeley Street,Grand Blossom House,KOWLOON CITY,
Multiple Ownership,忠孝街93號,九龍城,欣圖軒,共有業權,93 Chung Hau Street,Cascades,KOWLOON CITY,
Single Ownership,南丫島牙較灣22號,離島,南丫島牙較灣22號,單一業權,"22 Nga Kau Wan, Lamma Island","22 Nga Kau Wan, Lamma Island",ISLANDS,
Multiple Ownership,干諾道中168 - 200號,中西區,信德中心,共有業權,168 - 200 Connaught Road Central,Shun Tak Centre,CENTRAL & WESTERN,
Multiple Ownership,大嶼山東涌迎康街1號,離島,昇薈,共有業權,"1 Ying Hong Street, Tung Chung, Lantau",Visionary,ISLANDS,
Multiple Ownership,高陞街28號 / 皇后街1號 / 皇后大道西99號 / 德輔道西38號,中西區,帝后華庭,共有業權,28 Ko Shing Street / 1 Queen Street / 99 Queen's Road West / 38 Des Voeux Road West,Queen's Terrace,CENTRAL & WESTERN,
Multiple Ownership,寶文街1號,東區,峻峰花園,共有業權,1 PoMan Street,Perfect Mount Gardens,EASTERN,
Multiple Ownership,北角丹拿道18號,東區,丹拿花園,共有業權,"18 Tanner Road, North Point",Tanner Garden,EASTERN,
Multiple Ownership,北角英皇道460 - 470號及書局街12 - 18號,東區,樂嘉中心,共有業權,"460-470 King's Road, 12-18 Shu Kuk Street, North Point",Roca Centre,EASTERN,
Single Ownership,北角英皇道663 及665號,東區,萬誠保險千禧廣場及海逸酒店,單一業權,"663 & 665 King's Road, Harbour Plaza, North Point",Prosperity Millennia Plaza & Harbour Plaza,EASTERN,
Multiple Ownership,金鐘道88號,中西區,太古廣場一及二期,共有業權,88 Queensway,Pacific Place Phases I & II,CENTRAL & WESTERN,
Multiple Ownership,將軍澳唐俊街 12 號,西貢,天晉IIIA,共有業權,12 Tong Chun Street Tseung Kwan O,The Wings IIIA,SAI KUNG,
Multiple Ownership,鰂魚涌西灣臺 1號,東區,鰂魚涌西灣臺1號,共有業權,"1 Sai Wan Terrace, Quarry Bay",Mount Parker Residences,EASTERN,
Multiple Ownership,英皇道1060號,東區,栢蕙苑,共有業權,1060 King's Road,Parkvale,EASTERN,
Single Ownership,香港迪士尼樂園,離島,香港迪士尼樂園,單一業權,Hong Kong Disneyland,Hong Kong Disneyland,ISLANDS,
Multiple Ownership,東涌達東路20號,離島,東薈城,共有業權,"20 Tat Tung Road, Tung Chung",Citygate,ISLANDS,
Multiple Ownership,東涌海濱路12號,離島,藍天海岸,共有業權,"12 Tung Chung Waterfront Road, Tung Chung",Coastal Skyline,ISLANDS,
Multiple Ownership,鰂魚涌康柏徑10號,東區,康景花園,共有業權,"10 Hong Pak Path, Quarry Bay",Mount Parker Lodge,EASTERN,
Single Ownership,北角北角道8號,東區,隆運大厦,單一業權,"8 North Point Road, North Point",Loong Wan Building,EASTERN,
Multiple Ownership,第一街8號,中西區,縉城峰,共有業權,8 First Street,Island Crest,CENTRAL & WESTERN,
Multiple Ownership,柴灣柴灣道350號,東區,樂軒臺,共有業權,350 Chai Wan Road Chai Wan,Lok Hin Terrace,EASTERN,
Multiple Ownership,粉嶺百和路88號,北區,花都廣場,共有業權,"88 Pak Wo Road,Fanling",Flora Plaza,NORTH,
Multiple Ownership,東涌健東路2號,離島,映灣園,共有業權,"2 Kin Tung Road,Tung Chung",Caribbean Coast,ISLANDS,
Multiple Ownership,太康街51 - 59號,東區,鯉景灣,共有業權,31 - 39 Tai Hong Street,"Lei King Wan, 31 - 39 Tai Hong Street",EASTERN,
Multiple Ownership,北角英皇道632號,東區,慧雲峰,共有業權,"632 King's Road, North Point",La Place de Victoria,EASTERN,
Multiple Ownership,北角炮台山道28號,東區,豪廷峯,共有業權,"28 Fortress Hill Road, North Point",Le Sommet,EASTERN,
Multiple Ownership,康山道,東區,"康山花園,康怡花園及康怡廣塲(南)和(北)",共有業權,Kornhill Road,"Kornhill Garden, Kornhill & Kornhill Plaza (South) & (North)",EASTERN,
Multiple Ownership,小西灣小西灣道28號,東區,藍灣半島,共有業權,"28 Siu Sai Wan Road,Siu Sai Wan",Island Resort,EASTERN,
Multiple Ownership,北角英皇道510號,東區,港運城,共有業權,"510 King's Road, North Point",Island Place,EASTERN,
Single Ownership,北角英皇道494號,東區,香港大學專業進修學院,單一業權,"494 King's Road, North Point",HKU School of Professional And Continuing Education,EASTERN,
Multiple Ownership,柴灣盛泰道100號,東區,杏花邨,共有業權,"100 Shing Tai Road, Chai Wan",Heng Fa Chuen,EASTERN,
Single Ownership,阿公岩村道18號,東區,恆通資源中心,單一業權,18A Kung Ngam Village Road,Hang Tung Resources Centre,EASTERN,
Multiple Ownership,夏慤道16號,中西區,遠東金融中心,共有業權,16 Harcourt Road,Far East Finance Centre,CENTRAL & WESTERN,
Single Ownership,添美道1號,中西區,中信大廈,單一業權,1 Tim Mei Avenue,CITIC Tower,CENTRAL & WESTERN,
Multiple Ownership,西灣河太康街38號,東區,嘉亨灣,共有業權,"38 Tai Hong Street, Sai Wan Ho",Grand Promenade,EASTERN,
Multiple Ownership,北角英皇道238號,東區,康澤花園,共有業權,"238 King's Road, North Point",Fortress Metro Tower,EASTERN,
Multiple Ownership,富景花園 柴灣小西灣道18號,東區,富景花園柴灣小西灣道18號,共有業權,"18 Siu Sai Wan Road,Chai Wan",Fullview Garden,EASTERN,
Multiple Ownership,電氣道 233 號,東區,城市花園,共有業權,233 Electric Road,City Garden,EASTERN,
Multiple Ownership,筲箕灣111號,東區,欣景花園,共有業權,111 Shau Kei Wan Road,Felicity Garden,EASTERN,
Multiple Ownership,北角寶馬山道15-43號,東區,賽西湖大廈,共有業權,15-43 Braemar Hill Road,Braemar Hill Mansions,EASTERN,
Multiple Ownership,柴灣小西灣道23號,東區,富怡花園,共有業權,"23 Siu Sai Wan Road,Chai Wan",Cheerful Garden,EASTERN,
Single Ownership,鰂魚涌華蘭路25號,東區,柏克大廈(前稱「大昌行商業中心」),單一業權,"25 Westlands Road, Quarry Bay",Berkshire House (formerly known as DCH Commercial Centre),EASTERN,
Single Ownership,龍華街9號,中西區,香港大學賽馬會第三學生村,單一業權,9 Lung Wah Street,The University of Hong Kong Jockey Club Student Village III,CENTRAL & WESTERN,
Multiple Ownership,天后廟道 151 - 173 號,東區,百福花園,共有業權,151-173 Tin Hau Temple Road,Bedford Gardens,EASTERN,
Single Ownership,皇后大道中100號,中西區,皇后大道中100號,單一業權,100 Queen's Road Central,100 Queen's Road Central,CENTRAL & WESTERN,
Multiple Ownership,都會道 8-9號,九龍城,都會軒,共有業權,8-9 Metropolis Drive,The Metropolis,KOWLOON CITY,
Multiple Ownership,崇安街33號,九龍城,旭日豪庭,共有業權,33 Sung On Street,Sunrise Villa,KOWLOON CITY,
Single Ownership,德豐街18 - 22號,九龍城,海濱廣場一座、海濱廣場二座及九龍海逸君綽酒店,單一業權,18-22 Tak Fung Street,"One Harbour Front, Two Harbour Front and Harbour Grand Kowloon",KOWLOON CITY,
Multiple Ownership,筲箕灣愛禮街2號,東區,愛蝶灣,共有業權,"2 Oi Lai Street, ,Shau Kei Wan",Aldrich Garden,EASTERN,
Multiple Ownership,東源街 7 號及崇耀街 9 號,觀塘,Peninsula East,共有業權,7 Tung Yuen Street and 9 Shun Yiu Street,Peninsula East,KWUN TONG,
Multiple Ownership,紅鸞道7號,九龍城,維港‧星岸,共有業權,7 Hung Luen Road,Stars by The Harbour,KOWLOON CITY,
Single Ownership,北角英皇道625號,東區,北角英皇道625號,單一業權,"625 King's Road, North Point","625 King's Road, North Point",EASTERN,
Multiple Ownership,干諾道中128號,中西區,豫泰商業大廈,共有業權,128 Connaught Road Central,Yue Thai Commercial Building,CENTRAL & WESTERN,
Multiple Ownership,藍田匯景道,觀塘,匯景花園,共有業權,"Sceneway Road, Lam Tin",Sceneway Garden,KWUN TONG,
Multiple Ownership,沙田鄉事會路138號,沙田,新城市中央廣場,共有業權,138 Sha Tin Rural Committee Road,Grand Central Plaza,SHA TIN,
Multiple Ownership,打鼓嶺清水灣道,西貢,歡泰花園,共有業權,"Clear Water Bay Road, Ta Ku Ling",Capital Garden,SAI KUNG,
Multiple Ownership,安景街11 - 17號,沙田,翠湖花園,共有業權,11 - 17 On King Street,Garden Vista,SHA TIN,
Multiple Ownership,大圍積輝街2 - 18號 及大圍道55 - 65號,沙田,金禧花園,共有業權,"2 - 18 Chik Fai Street & 55 - 65 Tai Wai Road, Tai Wai",Grandeur Garden,SHA TIN,
Multiple Ownership,將軍澳唐明街 1 號,西貢,富康花園,共有業權,"1 Tong Ming Street, Tseung Kwan O",Beverly Garden,SAI KUNG,
Multiple Ownership,竹洋路6號A,西貢,栢寧頓花園,共有業權,6A Chuk Yeung Road,Burlingame Garden,SAI KUNG,
Multiple Ownership,檳榔灣,西貢,浪濤苑,共有業權,Pan Long Wan,Billows Villa,SAI KUNG,
Single Ownership,巧明街及偉業街交界,觀塘,麗東酒店,單一業權,"J/O How Ming Street,and Wai Yip Street",Newton Hotel,KWUN TONG,
Multiple Ownership,觀月．樺峯華街8號,觀塘,觀月．樺峯,共有業權,8 Yuet Wah Street,Park Metropolitan,KWUN TONG,
Multiple Ownership,馬鞍山鞍誠街28號,沙田,富輝花園,共有業權,"28 On Shing Street,Ma On Shan",Fu Fai Garden,SHA TIN,
Multiple Ownership,九肚山路1E號,沙田,蔚林居,共有業權,1E Kau To Shan Road,Forest Hill,SHA TIN,
Multiple Ownership,九龍灣臨樂街19號,觀塘,南豐商業中心,共有業權,"19 Lam Lok Street, Kowloon Bay",Nam Fung Commercial Centre,KWUN TONG,
Multiple Ownership,大涌橋路20 - 30號,沙田,河畔花園,共有業權,20 - 30 Tai Chung Kiu Road,Garden Rivera,SHA TIN,
Multiple Ownership,樂景街11號,沙田,榕翠園,共有業權,11 Lok King Street,Ficus Garden,SHA TIN,
Single Ownership,大涌橋路55 - 57號,沙田,海鮮舫,單一業權,55 - 57 Tai Chung Kiu Road,Floating Restaurant,SHA TIN,
Multiple Ownership,嵐霞路,西貢,青雲閣,共有業權,Lam Ha Road,Bellevue Villa,SAI KUNG,
Multiple Ownership,銀臺路15號,西貢,碧濤花園,共有業權,15 Silver Terrace Road,Bella Vista,SAI KUNG,
Multiple Ownership,將軍澳唐俊街 11 號,西貢,寶盈花園,共有業權,"11 Tong Chun Street, Tseung Kwan O",Bauhinia Garden,SAI KUNG,
Multiple Ownership,銀湖路1號,西貢,彩濤別墅,共有業權,1 Silver Lake Road,Rainbow Villa,SAI KUNG,
Multiple Ownership,馬鞍山烏溪沙路8 號,沙田,迎海,共有業權,"8 Wu Kai Sha Road, Ma On Shan",Double Cove,SHA TIN,
Multiple Ownership,清水灣道亞公灣,西貢,松園,共有業權,"Ah Kung Wan, Clear Water Bay Road",Pine Villa,SAI KUNG,
Multiple Ownership,鳯秀路6號,西貢,雅都花園,共有業權,6 Fung Sau Road,Asiacity Gardens,SAI KUNG,
Single Ownership,竹洋路99號,西貢,龍嶺,單一業權,99 Chuk Yeung Road,Arcadia,SAI KUNG,
Multiple Ownership,觀塘道418號,觀塘,創紀之城第五期,共有業權,418 Kwun Tong Road,Millennium City V,KWUN TONG,
Multiple Ownership,銀岬路5號,西貢,愛琴居及宗座外方傳教會,共有業權,5 Silver Cape Road,Aegean Villa and P.I.M.E. House,SAI KUNG,
Multiple Ownership,清水灣道845號,西貢,清水灣道845號,共有業權,845 Clear Water Bay Road,845 Clear Water Bay Road,SAI KUNG,
Multiple Ownership,觀塘道392號,觀塘,創紀之城第六期,共有業權,392 Kwun Tong Road,Millennium City VI,KWUN TONG,
Multiple Ownership,崗背街9 - 11號,沙田,全輝中心,共有業權,9 - 11 Kong Pui Street,Chuen Fai Centre,SHA TIN,
Multiple Ownership,碧沙路23號,西貢,君爵堡,共有業權,23 Pik Sha Road,Royal Castle,SAI KUNG,
Multiple Ownership,銀岬路26號,西貢,金碧苑第一期,共有業權,26 Silver Cape Road,Golden Cove Lookout Phase I,SAI KUNG,
Multiple Ownership,銀城街,沙田,沙田第一城,共有業權,Ngan Shing Street,City One Sha Tin,SHA TIN,
Multiple Ownership,坑口永隆路8號,西貢,坑口永隆路8號,共有業權,8 Hang Hau Wing Lung Road,8 Hang Hau Wing Lung Road,SAI KUNG,
Single Ownership,銀巒路5號,西貢,銀巒路5號,單一業權,5 Silver Crest Road,5 Silver Crest Road,SAI KUNG,
Multiple Ownership,"鳳秀路3, 3A, 7及9號",西貢,"鳳秀路3,3A,7及9號",共有業權,"3, 3A, 7 & 9 Fung Sau Road","3, 3A, 7 & 9 Fung Sau Road",SAI KUNG,
Multiple Ownership,"鳯秀路1C, 2, 2B",西貢,"鳯秀路1C,2,2B",共有業權,"1C, 2, 2B Fung Sau Road","1C, 2, 2B Fung Sau Road",SAI KUNG,
Single Ownership,偉業街223 - 231號,觀塘,宏利金融中心,單一業權,223 - 231 Wai Yip Street,Manulife Financial Centre,KWUN TONG,
Multiple Ownership,小瀝源路69號,沙田,帝堡城,共有業權,69 Siu Lek Yuen Road,Castello,SHA TIN,
Multiple Ownership,觀塘道370號,觀塘,創紀之城第三期,共有業權,370 Kwun Tong Road,Millennium City III,KWUN TONG,
Multiple Ownership,觀塘道378號,觀塘,創紀之城第二期,共有業權,378 Kwun Tong Road,Millennium City II,KWUN TONG,
Multiple Ownership,坑口永隆路28號,西貢,海景別墅,共有業權,28 Hang Hau Wing Lung Road,Ocean View Lodge,SAI KUNG,
Multiple Ownership,大涌橋路52號,沙田,富豪花園,共有業權,52 Tai Chung Kiu Road,Belair Gardens,SHA TIN,
Multiple Ownership,坑口永隆路12號,西貢,永隆苑,共有業權,12 Hang Hau Wing Lung Road,Wing Lung Villas,SAI KUNG,
Multiple Ownership,將軍澳蓬萊路8號,西貢,清水灣半島,共有業權,"8 Pung Loi Road, Tseung Kwan O",Oscar by the Sea,SAI KUNG,
Multiple Ownership,甘澍路10號,西貢,甘澍路10號,共有業權,10 Kam Shue Road,10 Kam Shue Road,SAI KUNG,
Multiple Ownership,將軍澳培成路8號,西貢,南豐廣場,共有業權,"8 Pui Shing Road, Tseung Kwan O",Nam Fung Plaza,SAI KUNG,
Multiple Ownership,銀巒路11號,西貢,銀巒路11號,共有業權,11 Silver Crest Road,11 Silver Crest Road,SAI KUNG,
Multiple Ownership,粉嶺聯捷街1號,北區,榮福中心,共有業權,"1 Luen Chit Street, Fanling",Wing Fok Centre,NORTH,
Single Ownership,巧明街100號,觀塘,城東誌,單一業權,100 How Ming Street,Landmark East,KWUN TONG,
Multiple Ownership,觀塘麗港街,觀塘,麗港城,共有業權,"Laguna Street, Kwun Tong",Laguna City,KWUN TONG,
Single Ownership,亞公灣路,西貢,曲溪小築,單一業權,Ah Kung Wan Road,Villas Caquecoy,SAI KUNG,
Multiple Ownership,將軍澳貿泰路8號,西貢,茵怡花園,共有業權,"8 Mau Tai Road, Tseung Kwan O",Verbena Heights,SAI KUNG,
Multiple Ownership,亞公灣道,西貢,灣景小築,共有業權,Ah Kung Wan Road,View Point,SAI KUNG,
Multiple Ownership,上水金錢南路8號,北區,御林皇府,共有業權,"8 Kam Tsin South Road, Sheung Shui",The Royal Oaks,NORTH,
Multiple Ownership,飛雲路2號,西貢,明華園,共有業權,2 Fei Wan Road,Ming Wah Yuen,SAI KUNG,
Multiple Ownership,將軍澳景嶺路8號,西貢,都會駅,共有業權,"8 King Ling Road, Tseung Kwan O",Metro Town,SAI KUNG,
Multiple Ownership,將軍澳澳景路88號,西貢,維景灣畔,共有業權,"88 O King Road, Tseung Kwan O",Ocean Shores,SAI KUNG,
Multiple Ownership,粉嶺聯捷街2 - 10號,北區,榮輝中心,共有業權,"2-10 Luen Chit Street, Fanling",Wing Fai Centre,NORTH,
Multiple Ownership,啓田道49號,觀塘,啓田大厦,共有業權,49 Kai Tin Road,Kai Tin Tower,KWUN TONG,
Single Ownership,九龍灣宏照道38號,觀塘,企業廣場五期,單一業權,"38 Wang Chiu Road, Kowloon Bay",Enterprise Square V (MegaBox),KWUN TONG,
Multiple Ownership,翠塘路1號A,西貢,景星廣場,共有業權,1A Chui Tong Road,Star Plaza,SAI KUNG,
Multiple Ownership,輋徑篤路17號,西貢,白沙灣花園,共有業權,17 Che Keng Tuk Road,Hebe Villa,SAI KUNG,
Multiple Ownership,竹洋路95號,西貢,樂居,共有業權,95 Chuk Yeung Road,Hillock,SAI KUNG,
Multiple Ownership,竹洋路101號,西貢,竹洋路101號,共有業權,101 Chuk Yeung Road,Hilldon,SAI KUNG,
Multiple Ownership,飛鵝山道,西貢,海巒苑,共有業權,Fei Ngo Shan Road,Helena Heights,SAI KUNG,
Multiple Ownership,樂翠街 19號,屯門,青山別墅,共有業權,19 Lok Chui Street,Castle Peak Villas,TUEN MUN,
Multiple Ownership,上水古洞坑頭路,北區,上水古洞坑頭路,共有業權,"Hang Tau Road, Kwu Tung, Sheung Shui",Goodwood Park,NORTH,
Multiple Ownership,粉嶺車站路18號,北區,粉嶺名都,共有業權,"18 Fanling Station Road, Fanling",Fanling Town Centre,NORTH,
Single Ownership,銀線灣銀巒路9號,西貢,銀巒別墅,單一業權,"9 Silver Crest Road, Silverstrand",Silver Crest Villa,SAI KUNG,
Single Ownership,銀岬路2號,西貢,銀線灣廣場,單一業權,2 Silver Cape Road,Silverstrand Mart,SAI KUNG,
Multiple Ownership,安寧徑2號,西貢,銀輝小築,共有業權,2 Serenity Path,Silver Chalet,SAI KUNG,
Multiple Ownership,竹洋路93及102號,西貢,西沙小築,共有業權,93 & 102 Chuk Yeung Road,Sea View Villa,SAI KUNG,
Multiple Ownership,銀線灣銀岬路18號,西貢,夏威夷花園,共有業權,"18 Silver Cape Road, Silverstrand",Hawaii Garden,SAI KUNG,
Multiple Ownership,碧沙路18號,西貢,翠浪小築,共有業權,18 Pik Sha Road,Greenwave Chalet,SAI KUNG,
Multiple Ownership,嘉翠苑 早禾路11號,西貢,嘉翠苑早禾路11號,共有業權,11 Tso Wo Road,Green Villa,SAI KUNG,
Multiple Ownership,銀岬路23號,西貢,金碧苑第二期,共有業權,23 Silver Cape Road,Golden Cove Lookout Phase II,SAI KUNG,
Multiple Ownership,粉嶺新運路33號,北區,粉嶺中心,共有業權,"33 San Wan Road, Fanling",Fanling Centre,NORTH,
Multiple Ownership,檳榔灣,西貢,銀林閣,共有業權,Pan Long Wan,Ryan Court,SAI KUNG,
Multiple Ownership,將軍澳至善街 3號,西貢,SAVANNAH,共有業權,3 Chi Shin Street Tseung Kwan O,SAVANNAH,SAI KUNG,
Multiple Ownership,安寧徑1號,西貢,金碧小築,共有業權,1 Serenity Path,Gold Chalet,SAI KUNG,
Multiple Ownership,白沙灣,西貢,寶石小築,共有業權,Pak Sha Wan,Ruby Chalet,SAI KUNG,
Multiple Ownership,清水灣道389號,西貢,金苑,共有業權,389 Clear Water Bay Road,Gold Villa,SAI KUNG,
Multiple Ownership,鳳秀路12號,西貢,鳳秀路12號,共有業權,12 Fung Sau Road,Fung Sau Villa,SAI KUNG,
Multiple Ownership,古洞金嘉街8號,北區,嘉麗山莊,共有業權,"8 Kam Ka Street,Kwu Tung",Casas Domingo,NORTH,
Multiple Ownership,粉嶺一鳴路23號,北區,牽晴間,共有業權,"23 Yat Ming Road, Fanling",Dawning Views,NORTH,
Multiple Ownership,銀巒路7號,西貢,華富花園,共有業權,7 Silver Crest Road,Fullway Garden,SAI KUNG,
Multiple Ownership,南圍路1號,西貢,慧園,共有業權,1 Nam Wai Road,Roseville Villa,SAI KUNG,
Multiple Ownership,亞公灣清水灣道684號,西貢,玫瑰小築,共有業權,"684 Clear Water Bay Road, Ah Kung Wan",Rose De Cosa,SAI KUNG,
Multiple Ownership,將軍澳培成路 15 號,西貢,蔚藍灣畔,共有業權,"15 Pui Shing Road, Tseung Kwan O",Residence Oasis,SAI KUNG,
Multiple Ownership,將軍澳重華路8號,西貢,東港城,共有業權,"8 Chung Wa Road, Tseung Kwan O",East Point City,SAI KUNG,
Multiple Ownership,早禾路18號,西貢,早和居,共有業權,18 Tso Wo Road,Floral Villas,SAI KUNG,
Multiple Ownership,飛鵝山飛雲路6 – 8 及12號,西貢,飛鵝花園,共有業權,"6 - 8 & 12 Fei Wan Road, Fei Ngo Shan",Flamingo Garden,SAI KUNG,
Multiple Ownership,一鳴路15號,北區,碧湖花園,共有業權,"15 Yat Ming Road, Fanling",Avon Park,NORTH,
Multiple Ownership,銀巒路18號,西貢,龍湖別墅,共有業權,18 Silver Crest Road,Dragon Lake Villa,SAI KUNG,
Multiple Ownership,粉嶺馬適路3號,北區,綠悠軒,共有業權,"3 Ma Sik Road, Fanling",Belair Monte,NORTH,
Multiple Ownership,丈量約份第229約 地段第230號 亞公灣路,西貢,丈量約份第229約地段第230號亞公灣路,共有業權,"DD 229 Lot 230,Ah Kung Wan Road","DD 229 Lot 230,Ah Kung Wan Road",SAI KUNG,
Single Ownership,清水灣道大環頭 丈量約份第236約 地段第358號,西貢,清水灣道大環頭丈量約份第236約地段第358號,單一業權,"DD 236 Lot No. 358,Tai Wan Tau, Clear Water Bay Road,Sai Kung","DD 236 Lot No. 358,Tai Wan Tau, Clear Water Bay Road,Sai Kung",SAI KUNG,
Multiple Ownership,九龍灣宏開道16號,觀塘,德福大厦,共有業權,"16 Wang Hoi Road, Kowloon Bay",Telford House,KWUN TONG,
Single Ownership,上水金錢路18號,北區,上水金錢路18號,單一業權,"18 Kam Tsin Road, Sheung Shui","18 Kam Tsin Road, Sheung Shui",NORTH,
Single Ownership,觀塘偉業街161號,觀塘,德勝廣場,單一業權,"161 Wai Yip Street, Kwun Tong",Tamson Plaza,KWUN TONG,
Multiple Ownership,偉業街33號,觀塘,德福花園及德福廣場,共有業權,33 Wai Yip Street,Telford Gardens and Telford Plaza,KWUN TONG,
Multiple Ownership,上水金錢徑1號,北區,翡翠園,共有業權,"1 Kam Tsin Path, Sheung Shui",Ascot Park,NORTH,
Multiple Ownership,安平街8號,沙田,偉達中心,共有業權,8 On Ping Street,Grandtech Centre,SHA TIN,
Multiple Ownership,馬鞍山鞍駿街11號,沙田,福安花園,共有業權,"11 On Chun Street,Ma On Shan",Fok On Garden,SHA TIN,
Multiple Ownership,打鼓嶺清水灣道,西貢,秀麗苑,共有業權,"Clear Water Bay Road, Ta Ku Ling",Celestial Villa,SAI KUNG,
Multiple Ownership,"大圍美田路16號, 村南路15及35號",沙田,富嘉花園,共有業權,"16 Mei Tin Road,15 & 35 Tsuen Nam Road, Tai Wai",Grandway Garden,SHA TIN,
Multiple Ownership,銀線灣銀岬路11號,西貢,富嘉堡,共有業權,"11 Silver Cape Road, Silverstrand",Casa Loma,SAI KUNG,
Multiple Ownership,銀線灣道5號,西貢,銀海山莊,共有業權,5 Silverstrand Beach Road,Casa Bella,SAI KUNG,
Multiple Ownership,打鼓嶺清水灣道,西貢,歡景花園,共有業權,"Clear Water Bay Road, Ta Ku Ling",Capital Villa,SAI KUNG,
Multiple Ownership,鴻圖道53號,觀塘,威明中心,共有業權,53 Hung To Road,Spectrum Tower,KWUN TONG,
Multiple Ownership,橫壆街2 - 16號,沙田,沙田中心,共有業權,2 - 16 Wang Pok Street,Sha Tin Centre,SHA TIN,
Single Ownership,安邦路大埔中心,大埔,大埔超級城多層停車場,單一業權,On Pong Road,"Tai Po Centre,Multi-storey Carpark",TAI PO,
Multiple Ownership,安泰路1號,大埔,大埔廣場,共有業權,1 On Tai Road,Tai Po Plaza,TAI PO,
Multiple Ownership,康樂園路,大埔,大埔變電站,共有業權,Hong Lok Yuen Road,Tai Po Electricity Substation,TAI PO,
Multiple Ownership,沙田正街1號,沙田,蔚景園,共有業權,1 Sha Tin Centre Street,Scenery Court,SHA TIN,
Multiple Ownership,穗禾路16號,沙田,碧霞花園,共有業權,16 Sui Wo Road,Sha Tin 33,SHA TIN,
Multiple Ownership,將軍澳運亨路1號,西貢,新都城中心第一期,共有業權,"1 Wan Hang Road, Tseung Kwan O",Metro City Phase I,SAI KUNG,
Multiple Ownership,將軍澳唐俊街 12 號,西貢,天晉Ⅱ,共有業權,12 Tong Chun Street Tseung Kwan O,The Wings II,SAI KUNG,
Multiple Ownership,將軍澳唐賢街 9 號,西貢,天晉,共有業權,9 Tong Yin Street Tseung Kwan O,The Wings,SAI KUNG,
Multiple Ownership,銀線灣銀泉徑8號,西貢,海天灣,共有業權,"8 Silver Stream Path, Silverstrand",The Villa Horizon,SAI KUNG,
Multiple Ownership,嵐霞路,西貢,陶樂苑,共有業權,Lam Ha Road,The Terraces,SAI KUNG,
Multiple Ownership,上水金翠路38號,北區,St. Andrew's Place,共有業權,"38 Kam Chui Road,Sheung Shui",St. Andrew's Place,NORTH,
Multiple Ownership,將軍澳欣景路8號,西貢,新都城2期,共有業權,"8 Yan King Road, Tseung Kwan O",Metro City Phase 2,SAI KUNG,
Multiple Ownership,上水智昌路9號,北區,上水名都,共有業權,"9 Chi Cheong Road, Sheung Shui",Sheung Shui Town Centre,NORTH,
Multiple Ownership,上水智昌路8號,北區,順欣花園,共有業權,"8 Chi Cheong Road, Sheung Shui",Sunningdale Garden,NORTH,
Multiple Ownership,上水中心水智昌路3號,北區,上水中心,共有業權,"3 Chi Cheong Road, Sheung Shui",Sheung Shui Centre,NORTH,
Single Ownership,九龍灣展貿徑1號,觀塘,國際展貿中心,單一業權,"1 Trademart Drive, Kowloon Bay",Hong Kong International Trade & Exhibition Centre (HITEC),KWUN TONG,
Multiple Ownership,清水灣道 8 號,觀塘,清水灣道8號,共有業權,8 Clear Water Bay Road,8 Clear Water Bay Road,KWUN TONG,
Multiple Ownership,油塘崇信街8號,觀塘,鯉灣天下,共有業權,"8 Shung Shun Street, Yau Tong",Canaryside,KWUN TONG,
Multiple Ownership,銀巒路10號,西貢,銀巒路10號,共有業權,10 Silver Crest Road,Ma Maison,SAI KUNG,
Multiple Ownership,清水灣道柏濤徑,西貢,柏濤灣,共有業權,"Clear Water Bay Road, Pak To Avenue",The Portofino,SAI KUNG,
